run_accession	study_accession	sample_accession	experiment_accession	scientific_name	experiment_title	fastq_ftp	sample_title
ERR13347044	PRJEB77209	SAMEA115804987	ERX12717944	Staphylococcus aureus	Illumina MiniSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/044/ERR13347044/ERR13347044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/044/ERR13347044/ERR13347044_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab D Sample 17
ERR13347048	PRJEB77209	SAMEA115804991	ERX12717948	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/048/ERR13347048/ERR13347048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/048/ERR13347048/ERR13347048_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E1 Sample 02
ERR13347049	PRJEB77209	SAMEA115804992	ERX12717949	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/049/ERR13347049/ERR13347049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/049/ERR13347049/ERR13347049_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E1 Sample 03
ERR13347051	PRJEB77209	SAMEA115804994	ERX12717951	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/051/ERR13347051/ERR13347051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/051/ERR13347051/ERR13347051_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E1 Sample 05
ERR13347057	PRJEB77209	SAMEA115805000	ERX12717957	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/057/ERR13347057/ERR13347057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/057/ERR13347057/ERR13347057_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E1 Sample 11
ERR13347058	PRJEB77209	SAMEA115805001	ERX12717958	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/058/ERR13347058/ERR13347058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/058/ERR13347058/ERR13347058_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E1 Sample 12
ERR13347061	PRJEB77209	SAMEA115805004	ERX12717961	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/061/ERR13347061/ERR13347061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/061/ERR13347061/ERR13347061_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E1 Sample 15
ERR13347065	PRJEB77209	SAMEA115805008	ERX12717965	Staphylococcus aureus	Illumina MiSeq sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/065/ERR13347065/ERR13347065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/065/ERR13347065/ERR13347065_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E1 Sample 19
ERR13347069	PRJEB77209	SAMEA115805012	ERX12717969	Staphylococcus aureus	NextSeq 500 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/069/ERR13347069/ERR13347069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/069/ERR13347069/ERR13347069_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E2 Sample 04
ERR13347072	PRJEB77209	SAMEA115805015	ERX12717972	Staphylococcus aureus	NextSeq 500 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/072/ERR13347072/ERR13347072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/072/ERR13347072/ERR13347072_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E2 Sample 07
ERR13347073	PRJEB77209	SAMEA115805016	ERX12717973	Staphylococcus aureus	NextSeq 500 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/073/ERR13347073/ERR13347073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/073/ERR13347073/ERR13347073_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E2 Sample 08
ERR13347077	PRJEB77209	SAMEA115805020	ERX12717977	Staphylococcus aureus	NextSeq 500 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/077/ERR13347077/ERR13347077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/077/ERR13347077/ERR13347077_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E2 Sample 12
ERR13347080	PRJEB77209	SAMEA115805023	ERX12717980	Staphylococcus aureus	NextSeq 500 sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/080/ERR13347080/ERR13347080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/080/ERR13347080/ERR13347080_2.fastq.gz	GMS 2019 Staphylococcus aureus pilot Lab E2 Sample 15
