name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	200418	1052313	1252731	0.92804
Staphylococcus argenteus	985002	S	2744	119	2863	0.00212
Staphylococcus schweitzeri	1654388	S	2123	105	2228	0.00165
Staphylococcus sp. MZ9	2836367	S	189	33858	34047	0.02522
Staphylococcus sp. FSL W8-0305	2954552	S	174	3415	3589	0.00266
Staphylococcus sp. 17KM0847	2583989	S	130	0	130	0.00010
Staphylococcus sp. MZ8	2836366	S	48	1953	2001	0.00148
Staphylococcus sp. IVB6181	2929481	S	47	0	47	0.00003
Staphylococcus sp. NRL 22/194	3020908	S	23	63	86	0.00006
Staphylococcus sp. MI 10-1553	1912064	S	19	0	19	0.00001
Staphylococcus sp. M0911	2025492	S	7	6	13	0.00001
Staphylococcus sp. 11-B-312	2799680	S	7	2	9	0.00001
Staphylococcus sp. MZ3	2836364	S	7	1748	1755	0.00130
Staphylococcus sp. NRL 16/872	2930131	S	7	13	20	0.00001
Staphylococcus sp. T93	2799681	S	6	865	871	0.00065
Staphylococcus sp. FSL W8-0056	2954548	S	6	507	513	0.00038
Staphylococcus sp. HL28	2897335	S	5	45	50	0.00004
Staphylococcus sp. SB1-57	2813777	S	4	5	9	0.00001
Staphylococcus sp. AntiMn-1	1715860	S	4	14	18	0.00001
Staphylococcus sp. IVB6240	2989771	S	3	9	12	0.00001
Staphylococcus sp. IVB6238	2989770	S	3	6	9	0.00001
Staphylococcus sp. SM3655	2807625	S	3	5355	5358	0.00397
Staphylococcus sp. SM9054	2807624	S	3	24827	24830	0.01839
Staphylococcus sp. MZ1	2836369	S	2	1694	1696	0.00126
Staphylococcus sp. MZ7	2836365	S	2	451	453	0.00034
Staphylococcus sp. IVB6246	2989772	S	2	1	3	0.00000
Staphylococcus sp. CDC25	678600	S	1	4	5	0.00000
Staphylococcus sp. IVB6214	2989766	S	1	3	4	0.00000
Staphylococcus epidermidis	1282	S	1089	39	1128	0.00084
Staphylococcus simiae	308354	S	940	4	944	0.00070
Staphylococcus haemolyticus	1283	S	664	23	687	0.00051
Staphylococcus capitis	29388	S	654	40	694	0.00051
Staphylococcus saprophyticus	29385	S	445	14	459	0.00034
Staphylococcus pasteuri	45972	S	420	22	442	0.00033
Staphylococcus pseudintermedius	283734	S	258	14	272	0.00020
Staphylococcus delphini	53344	S	130	8	138	0.00010
Staphylococcus saccharolyticus	33028	S	319	2	321	0.00024
Staphylococcus felis	46127	S	310	2	312	0.00023
Staphylococcus hominis	1290	S	291	10	301	0.00022
Staphylococcus arlettae	29378	S	271	6	277	0.00021
Staphylococcus lugdunensis	28035	S	264	4	268	0.00020
Staphylococcus simulans	1286	S	259	3	262	0.00019
Staphylococcus warneri	1292	S	228	29	257	0.00019
Staphylococcus devriesei	586733	S	167	1	168	0.00012
Staphylococcus xylosus	1288	S	166	5	171	0.00013
Staphylococcus caprae	29380	S	138	3	141	0.00010
Staphylococcus edaphicus	1955013	S	135	1	136	0.00010
Staphylococcus kloosii	29384	S	121	1	122	0.00009
Staphylococcus cohnii	29382	S	95	6	101	0.00007
Staphylococcus ureilyticus	94138	S	11	4	15	0.00001
Staphylococcus hsinchuensis	3051183	S	106	3	109	0.00008
Staphylococcus nepalensis	214473	S	101	1	102	0.00008
Staphylococcus agnetis	985762	S	98	2	100	0.00007
Staphylococcus gallinarum	1293	S	86	0	86	0.00006
Staphylococcus debuckii	2044912	S	86	2	88	0.00007
Staphylococcus lloydii	2781774	S	84	1	85	0.00006
Staphylococcus pettenkoferi	170573	S	80	0	80	0.00006
Staphylococcus chromogenes	46126	S	77	1	78	0.00006
Staphylococcus auricularis	29379	S	73	0	73	0.00005
Staphylococcus ratti	2892440	S	70	0	70	0.00005
Staphylococcus hyicus	1284	S	67	2	69	0.00005
Staphylococcus shinii	2912228	S	66	2	68	0.00005
Staphylococcus equorum	246432	S	63	39	102	0.00008
Staphylococcus carnosus	1281	S	52	5	57	0.00004
Staphylococcus condimenti	70255	S	47	0	47	0.00003
Staphylococcus rostri	522262	S	44	1	45	0.00003
Staphylococcus casei	201828	S	44	1	45	0.00003
Staphylococcus coagulans	74706	S	42	1	43	0.00003
Staphylococcus lutrae	155085	S	35	0	35	0.00003
Staphylococcus succinus	61015	S	32	1	33	0.00002
Staphylococcus muscae	1294	S	32	0	32	0.00002
Staphylococcus pseudoxylosus	2282419	S	29	6	35	0.00003
Staphylococcus piscifermentans	70258	S	28	0	28	0.00002
Staphylococcus schleiferi	1295	S	28	0	28	0.00002
Staphylococcus petrasii	1276936	S	2	2	4	0.00000
Mammaliicoccus vitulinus	71237	S	36	2	38	0.00003
Mammaliicoccus sciuri	1296	S	29	1	30	0.00002
Mammaliicoccus lentus	42858	S	7	0	7	0.00001
Mammaliicoccus sp. Dog046	3034233	S	3	0	3	0.00000
Mammaliicoccus stepanovicii	643214	S	2	0	2	0.00000
Macrococcus sp. IME1552	1898474	S	3	4	7	0.00001
Macrococcus equipercicus	69967	S	2	0	2	0.00000
Macrococcus armenti	2875764	S	2	0	2	0.00000
Macrococcus bovicus	69968	S	1	0	1	0.00000
Salinicoccus sp. Bachu38	3136731	S	3	2	5	0.00000
Nosocomiicoccus ampullae	489910	S	2	2	4	0.00000
Jeotgalicoccus sp. ATCC 8456	946435	S	1	2	3	0.00000
Macrococcoides canis	1855823	S	2	0	2	0.00000
Bacillus velezensis	492670	S	43	3	46	0.00003
Bacillus siamensis	659243	S	11	0	11	0.00001
