name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	93966	480617	574583	0.93937
Staphylococcus argenteus	985002	S	1293	49	1342	0.00219
Staphylococcus schweitzeri	1654388	S	993	43	1036	0.00169
Staphylococcus sp. FSL W8-0305	2954552	S	70	1225	1295	0.00212
Staphylococcus sp. 17KM0847	2583989	S	64	0	64	0.00010
Staphylococcus sp. MZ9	2836367	S	55	8838	8893	0.01454
Staphylococcus sp. IVB6181	2929481	S	27	0	27	0.00004
Staphylococcus sp. MZ8	2836366	S	20	732	752	0.00123
Staphylococcus sp. NRL 22/194	3020908	S	7	28	35	0.00006
Staphylococcus sp. MI 10-1553	1912064	S	6	0	6	0.00001
Staphylococcus sp. FSL W8-0056	2954548	S	5	376	381	0.00062
Staphylococcus sp. M0911	2025492	S	4	3	7	0.00001
Staphylococcus sp. 11-B-312	2799680	S	4	1	5	0.00001
Staphylococcus sp. MZ3	2836364	S	2	448	450	0.00074
Staphylococcus sp. IVB6238	2989770	S	2	6	8	0.00001
Staphylococcus sp. NRL 16/872	2930131	S	2	5	7	0.00001
Staphylococcus sp. MZ7	2836365	S	2	404	406	0.00066
Staphylococcus sp. SB1-57	2813777	S	2	2	4	0.00001
Staphylococcus sp. IVB6246	2989772	S	2	2	4	0.00001
Staphylococcus sp. SM9054	2807624	S	2	14785	14787	0.02417
Staphylococcus sp. 693-2	373067	S	1	0	1	0.00000
Staphylococcus sp. IVB6240	2989771	S	1	4	5	0.00001
Staphylococcus sp. AntiMn-1	1715860	S	1	3	4	0.00001
Staphylococcus epidermidis	1282	S	450	14	464	0.00076
Staphylococcus simiae	308354	S	416	1	417	0.00068
Staphylococcus haemolyticus	1283	S	344	11	355	0.00058
Staphylococcus capitis	29388	S	264	12	276	0.00045
Staphylococcus saprophyticus	29385	S	223	6	229	0.00037
Staphylococcus pasteuri	45972	S	171	9	180	0.00029
Staphylococcus pseudintermedius	283734	S	113	6	119	0.00019
Staphylococcus delphini	53344	S	45	2	47	0.00008
Staphylococcus felis	46127	S	158	1	159	0.00026
Staphylococcus saccharolyticus	33028	S	141	1	142	0.00023
Staphylococcus arlettae	29378	S	126	2	128	0.00021
Staphylococcus lugdunensis	28035	S	123	1	124	0.00020
Staphylococcus hominis	1290	S	118	3	121	0.00020
Staphylococcus simulans	1286	S	111	1	112	0.00018
Staphylococcus warneri	1292	S	96	11	107	0.00017
Staphylococcus xylosus	1288	S	85	2	87	0.00014
Staphylococcus edaphicus	1955013	S	74	0	74	0.00012
Staphylococcus agnetis	985762	S	67	1	68	0.00011
Staphylococcus caprae	29380	S	65	1	66	0.00011
Staphylococcus kloosii	29384	S	64	0	64	0.00010
Staphylococcus devriesei	586733	S	62	0	62	0.00010
Staphylococcus debuckii	2044912	S	49	1	50	0.00008
Staphylococcus cohnii	29382	S	36	1	37	0.00006
Staphylococcus ureilyticus	94138	S	7	2	9	0.00001
Staphylococcus hsinchuensis	3051183	S	42	1	43	0.00007
Staphylococcus chromogenes	46126	S	40	0	40	0.00007
Staphylococcus gallinarum	1293	S	39	0	39	0.00006
Staphylococcus lloydii	2781774	S	35	0	35	0.00006
Staphylococcus pettenkoferi	170573	S	33	0	33	0.00005
Staphylococcus nepalensis	214473	S	32	0	32	0.00005
Staphylococcus hyicus	1284	S	30	0	30	0.00005
Staphylococcus shinii	2912228	S	26	0	26	0.00004
Staphylococcus succinus	61015	S	25	1	26	0.00004
Staphylococcus carnosus	1281	S	24	0	24	0.00004
