name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	1025938	1215259	2241197	0.96771
Staphylococcus argenteus	985002	S	2489	52	2541	0.00110
Staphylococcus sp. MZ9	2836367	S	272	22226	22498	0.00971
Staphylococcus sp. MZ8	2836366	S	172	3231	3403	0.00147
Staphylococcus sp. FSL W8-0305	2954552	S	73	644	717	0.00031
Staphylococcus sp. IVB6181	2929481	S	61	0	61	0.00003
Staphylococcus sp. 17KM0847	2583989	S	61	0	61	0.00003
Staphylococcus sp. MI 10-1553	1912064	S	20	0	20	0.00001
Staphylococcus sp. SM3655	2807625	S	9	7254	7263	0.00314
Staphylococcus sp. 11-B-312	2799680	S	8	1	9	0.00000
Staphylococcus sp. FSL W8-0056	2954548	S	7	264	271	0.00012
Staphylococcus sp. MZ1	2836369	S	5	1954	1959	0.00085
Staphylococcus sp. IVB6246	2989772	S	5	7	12	0.00001
Staphylococcus sp. SB1-57	2813777	S	5	3	8	0.00000
Staphylococcus sp. MZ7	2836365	S	5	513	518	0.00022
Staphylococcus sp. SM9054	2807624	S	4	14945	14949	0.00645
Staphylococcus sp. M0911	2025492	S	4	2	6	0.00000
Staphylococcus sp. NRL 22/194	3020908	S	4	18	22	0.00001
Staphylococcus sp. MZ3	2836364	S	3	341	344	0.00015
Staphylococcus sp. AntiMn-1	1715860	S	3	5	8	0.00000
Staphylococcus sp. IVB6240	2989771	S	2	10	12	0.00001
Staphylococcus sp. IVB6214	2989766	S	2	9	11	0.00000
Staphylococcus sp. IVB6238	2989770	S	1	3	4	0.00000
Staphylococcus sp. KG4-3	3093634	S	1	3	4	0.00000
Staphylococcus sp. IVB6227	2989768	S	1	4	5	0.00000
Staphylococcus sp. NRL 16/872	2930131	S	1	3	4	0.00000
Staphylococcus sp. T93	2799681	S	1	64	65	0.00003
Staphylococcus schweitzeri	1654388	S	1446	33	1479	0.00064
Staphylococcus simiae	308354	S	1253	4	1257	0.00054
Staphylococcus epidermidis	1282	S	1009	22	1031	0.00045
Staphylococcus haemolyticus	1283	S	927	19	946	0.00041
Staphylococcus capitis	29388	S	451	19	470	0.00020
Staphylococcus felis	46127	S	409	1	410	0.00018
Staphylococcus pasteuri	45972	S	383	7	390	0.00017
Staphylococcus pseudintermedius	283734	S	233	27	260	0.00011
Staphylococcus delphini	53344	S	130	3	133	0.00006
Staphylococcus hominis	1290	S	374	7	381	0.00016
Staphylococcus saprophyticus	29385	S	343	5	348	0.00015
Staphylococcus arlettae	29378	S	274	3	277	0.00012
Staphylococcus warneri	1292	S	247	15	262	0.00011
Staphylococcus saccharolyticus	33028	S	219	1	220	0.00009
Staphylococcus lugdunensis	28035	S	189	2	191	0.00008
Staphylococcus kloosii	29384	S	184	1	185	0.00008
Staphylococcus edaphicus	1955013	S	175	0	175	0.00008
Staphylococcus caprae	29380	S	162	2	164	0.00007
Staphylococcus gallinarum	1293	S	160	0	160	0.00007
Staphylococcus piscifermentans	70258	S	151	1	152	0.00007
Staphylococcus devriesei	586733	S	136	0	136	0.00006
Staphylococcus simulans	1286	S	126	0	126	0.00005
