name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	329715	791545	1121260	0.93780
Staphylococcus argenteus	985002	S	2696	79	2775	0.00232
Staphylococcus schweitzeri	1654388	S	1430	48	1478	0.00124
Staphylococcus sp. MZ8	2836366	S	237	6505	6742	0.00564
Staphylococcus sp. MZ9	2836367	S	152	18354	18506	0.01548
Staphylococcus sp. IVB6181	2929481	S	55	0	55	0.00005
Staphylococcus sp. 17KM0847	2583989	S	51	0	51	0.00004
Staphylococcus sp. FSL W8-0305	2954552	S	44	580	624	0.00052
Staphylococcus sp. MI 10-1553	1912064	S	30	0	30	0.00003
Staphylococcus sp. SB1-57	2813777	S	9	8	17	0.00001
Staphylococcus sp. M0911	2025492	S	7	4	11	0.00001
Staphylococcus sp. 11-B-312	2799680	S	6	1	7	0.00001
Staphylococcus sp. T93	2799681	S	6	582	588	0.00049
Staphylococcus sp. MZ7	2836365	S	5	760	765	0.00064
Staphylococcus sp. FSL W8-0056	2954548	S	5	284	289	0.00024
Staphylococcus sp. MZ1	2836369	S	5	2856	2861	0.00239
Staphylococcus sp. SM9054	2807624	S	4	22276	22280	0.01863
Staphylococcus sp. MZ3	2836364	S	4	673	677	0.00057
Staphylococcus sp. NRL 16/872	2930131	S	3	4	7	0.00001
Staphylococcus sp. NRL 22/194	3020908	S	3	6	9	0.00001
Staphylococcus sp. IVB6214	2989766	S	2	5	7	0.00001
Staphylococcus sp. SM3655	2807625	S	2	2402	2404	0.00201
Staphylococcus sp. IVB6233	2989769	S	1	6	7	0.00001
Staphylococcus sp. IVB6238	2989770	S	1	1	2	0.00000
Staphylococcus sp. IVB6240	2989771	S	1	2	3	0.00000
Staphylococcus sp. IVB6218	2989767	S	1	15	16	0.00001
Staphylococcus sp. HL28	2897335	S	1	6	7	0.00001
Staphylococcus sp. AntiMn-1	1715860	S	1	2	3	0.00000
Staphylococcus epidermidis	1282	S	955	24	979	0.00082
Staphylococcus simiae	308354	S	934	3	937	0.00078
Staphylococcus capitis	29388	S	574	24	598	0.00050
Staphylococcus haemolyticus	1283	S	563	14	577	0.00048
Staphylococcus hominis	1290	S	470	11	481	0.00040
Staphylococcus delphini	53344	S	261	9	270	0.00023
Staphylococcus pseudintermedius	283734	S	165	15	180	0.00015
Staphylococcus saccharolyticus	33028	S	384	2	386	0.00032
Staphylococcus pasteuri	45972	S	329	14	343	0.00029
Staphylococcus felis	46127	S	265	1	266	0.00022
Staphylococcus arlettae	29378	S	253	3	256	0.00021
Staphylococcus devriesei	586733	S	245	1	246	0.00021
Staphylococcus gallinarum	1293	S	215	0	215	0.00018
Staphylococcus warneri	1292	S	189	16	205	0.00017
Staphylococcus lugdunensis	28035	S	177	3	180	0.00015
Staphylococcus simulans	1286	S	143	1	144	0.00012
Staphylococcus caprae	29380	S	137	2	139	0.00012
Staphylococcus xylosus	1288	S	134	2	136	0.00011
Staphylococcus saprophyticus	29385	S	131	2	133	0.00011
