name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	208239	1452574	1660813	0.86744
Staphylococcus argenteus	985002	S	3367	250	3617	0.00189
Staphylococcus schweitzeri	1654388	S	1931	167	2098	0.00110
Staphylococcus sp. MZ8	2836366	S	398	28163	28561	0.01492
Staphylococcus sp. MZ9	2836367	S	256	80009	80265	0.04192
Staphylococcus sp. MZ3	2836364	S	90	39223	39313	0.02053
Staphylococcus sp. IVB6181	2929481	S	73	2	75	0.00004
Staphylococcus sp. FSL W8-0305	2954552	S	71	2445	2516	0.00131
Staphylococcus sp. 17KM0847	2583989	S	64	0	64	0.00003
Staphylococcus sp. MI 10-1553	1912064	S	37	1	38	0.00002
Staphylococcus sp. M0911	2025492	S	16	25	41	0.00002
Staphylococcus sp. 11-B-312	2799680	S	14	8	22	0.00001
Staphylococcus sp. MZ7	2836365	S	9	3542	3551	0.00185
Staphylococcus sp. FSL W8-0056	2954548	S	8	1182	1190	0.00062
Staphylococcus sp. NRL 16/872	2930131	S	6	8	14	0.00001
Staphylococcus sp. SB1-57	2813777	S	6	13	19	0.00001
Staphylococcus sp. SM3655	2807625	S	5	15653	15658	0.00818
Staphylococcus sp. IVB6238	2989770	S	4	6	10	0.00001
Staphylococcus sp. NRL 22/194	3020908	S	4	7	11	0.00001
Staphylococcus sp. MZ1	2836369	S	4	5893	5897	0.00308
Staphylococcus sp. HL28	2897335	S	3	47	50	0.00003
Staphylococcus sp. SM9054	2807624	S	3	43537	43540	0.02274
Staphylococcus sp. T93	2799681	S	3	760	763	0.00040
Staphylococcus sp. IVB6214	2989766	S	3	6	9	0.00000
Staphylococcus sp. IVB6240	2989771	S	3	6	9	0.00000
Staphylococcus sp. IVB6246	2989772	S	2	1	3	0.00000
Staphylococcus sp. AntiMn-1	1715860	S	1	6	7	0.00000
Staphylococcus sp. 693-2	373067	S	1	1	2	0.00000
Staphylococcus simiae	308354	S	1292	9	1301	0.00068
Staphylococcus haemolyticus	1283	S	660	39	699	0.00037
Staphylococcus epidermidis	1282	S	644	39	683	0.00036
Staphylococcus capitis	29388	S	582	55	637	0.00033
Staphylococcus hominis	1290	S	493	29	522	0.00027
Staphylococcus felis	46127	S	398	4	402	0.00021
Staphylococcus saccharolyticus	33028	S	358	5	363	0.00019
Staphylococcus pasteuri	45972	S	335	23	358	0.00019
Staphylococcus pseudintermedius	283734	S	205	16	221	0.00012
