name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	126277	717080	843357	0.89990
Staphylococcus argenteus	985002	S	2096	99	2195	0.00234
Staphylococcus schweitzeri	1654388	S	1451	81	1532	0.00163
Staphylococcus simiae	308354	S	870	4	874	0.00093
Staphylococcus sp. MZ9	2836367	S	138	28056	28194	0.03008
Staphylococcus sp. MZ8	2836366	S	124	5723	5847	0.00624
Staphylococcus sp. 17KM0847	2583989	S	47	0	47	0.00005
Staphylococcus sp. IVB6181	2929481	S	45	0	45	0.00005
Staphylococcus sp. FSL W8-0305	2954552	S	39	868	907	0.00097
Staphylococcus sp. MI 10-1553	1912064	S	25	0	25	0.00003
Staphylococcus sp. M0911	2025492	S	8	8	16	0.00002
Staphylococcus sp. 11-B-312	2799680	S	6	2	8	0.00001
Staphylococcus sp. FSL W8-0056	2954548	S	6	571	577	0.00062
Staphylococcus sp. SM3655	2807625	S	5	10139	10144	0.01082
Staphylococcus sp. MZ3	2836364	S	5	1416	1421	0.00152
Staphylococcus sp. MZ7	2836365	S	5	1275	1280	0.00137
Staphylococcus sp. IVB6238	2989770	S	3	6	9	0.00001
Staphylococcus sp. IVB6246	2989772	S	3	3	6	0.00001
Staphylococcus sp. NRL 16/872	2930131	S	3	6	9	0.00001
Staphylococcus sp. MZ1	2836369	S	3	2882	2885	0.00308
Staphylococcus sp. SB1-57	2813777	S	3	4	7	0.00001
Staphylococcus sp. SM9054	2807624	S	3	28201	28204	0.03009
Staphylococcus sp. T93	2799681	S	2	329	331	0.00035
Staphylococcus sp. HL28	2897335	S	1	10	11	0.00001
Staphylococcus sp. NRL 22/194	3020908	S	1	2	3	0.00000
Staphylococcus sp. IVB6240	2989771	S	1	3	4	0.00000
Staphylococcus epidermidis	1282	S	671	139	810	0.00086
Staphylococcus capitis	29388	S	527	31	558	0.00060
Staphylococcus haemolyticus	1283	S	414	15	429	0.00046
Staphylococcus pasteuri	45972	S	377	8	385	0.00041
Staphylococcus hominis	1290	S	319	12	331	0.00035
Staphylococcus saccharolyticus	33028	S	236	2	238	0.00025
Staphylococcus pseudintermedius	283734	S	150	11	161	0.00017
Staphylococcus delphini	53344	S	51	4	55	0.00006
Staphylococcus arlettae	29378	S	200	4	204	0.00022
Staphylococcus felis	46127	S	160	1	161	0.00017
Staphylococcus caprae	29380	S	155	4	159	0.00017
Staphylococcus warneri	1292	S	148	22	170	0.00018
Staphylococcus lugdunensis	28035	S	145	4	149	0.00016
Staphylococcus hsinchuensis	3051183	S	143	4	147	0.00016
Staphylococcus edaphicus	1955013	S	142	1	143	0.00015
Staphylococcus devriesei	586733	S	134	1	135	0.00014
Staphylococcus kloosii	29384	S	132	1	133	0.00014
Staphylococcus simulans	1286	S	120	1	121	0.00013
