name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	555733	1572889	2128622	0.93121
Staphylococcus argenteus	985002	S	3580	150	3730	0.00163
Staphylococcus schweitzeri	1654388	S	1959	87	2046	0.00090
Staphylococcus simiae	308354	S	1435	6	1441	0.00063
Staphylococcus sp. MZ9	2836367	S	273	42930	43203	0.01890
Staphylococcus sp. MZ8	2836366	S	251	8957	9208	0.00403
Staphylococcus sp. FSL W8-0305	2954552	S	82	1422	1504	0.00066
Staphylococcus sp. IVB6181	2929481	S	76	1	77	0.00003
Staphylococcus sp. 17KM0847	2583989	S	60	0	60	0.00003
Staphylococcus sp. MI 10-1553	1912064	S	41	0	41	0.00002
Staphylococcus sp. FSL W8-0056	2954548	S	15	1141	1156	0.00051
Staphylococcus sp. 11-B-312	2799680	S	15	4	19	0.00001
Staphylococcus sp. MZ7	2836365	S	10	2004	2014	0.00088
Staphylococcus sp. SM3655	2807625	S	9	14156	14165	0.00620
Staphylococcus sp. IVB6238	2989770	S	8	13	21	0.00001
Staphylococcus sp. MZ3	2836364	S	8	1754	1762	0.00077
Staphylococcus sp. T93	2799681	S	8	1001	1009	0.00044
Staphylococcus sp. M0911	2025492	S	8	6	14	0.00001
Staphylococcus sp. SB1-57	2813777	S	7	8	15	0.00001
Staphylococcus sp. NRL 16/872	2930131	S	7	10	17	0.00001
Staphylococcus sp. AntiMn-1	1715860	S	7	22	29	0.00001
Staphylococcus sp. NRL 22/194	3020908	S	6	12	18	0.00001
Staphylococcus sp. IVB6240	2989771	S	6	14	20	0.00001
Staphylococcus sp. SM9054	2807624	S	5	36458	36463	0.01595
Staphylococcus sp. MZ1	2836369	S	3	2229	2232	0.00098
Staphylococcus sp. HL28	2897335	S	3	23	26	0.00001
Staphylococcus sp. IVB6246	2989772	S	2	1	3	0.00000
Staphylococcus sp. KG4-3	3093634	S	2	14	16	0.00001
Staphylococcus sp. IVB6214	2989766	S	2	4	6	0.00000
Staphylococcus sp. IVB6227	2989768	S	1	2	3	0.00000
Staphylococcus sp. 693-2	373067	S	1	0	1	0.00000
Staphylococcus delphini	53344	S	769	25	794	0.00035
Staphylococcus pseudintermedius	283734	S	241	15	256	0.00011
Staphylococcus capitis	29388	S	855	49	904	0.00040
Staphylococcus haemolyticus	1283	S	786	26	812	0.00036
Staphylococcus epidermidis	1282	S	753	33	786	0.00034
Staphylococcus saccharolyticus	33028	S	563	4	567	0.00025
Staphylococcus hominis	1290	S	532	16	548	0.00024
Staphylococcus pasteuri	45972	S	418	26	444	0.00019
Staphylococcus felis	46127	S	382	2	384	0.00017
Staphylococcus arlettae	29378	S	366	7	373	0.00016
Staphylococcus gallinarum	1293	S	291	1	292	0.00013
Staphylococcus warneri	1292	S	267	30	297	0.00013
Staphylococcus devriesei	586733	S	264	2	266	0.00012
Staphylococcus lugdunensis	28035	S	237	3	240	0.00010
Staphylococcus simulans	1286	S	198	2	200	0.00009
Staphylococcus kloosii	29384	S	190	1	191	0.00008
Staphylococcus debuckii	2044912	S	182	4	186	0.00008
Staphylococcus caprae	29380	S	178	4	182	0.00008
Staphylococcus cohnii	29382	S	136	7	143	0.00006
Staphylococcus ureilyticus	94138	S	17	5	22	0.00001
Staphylococcus xylosus	1288	S	149	4	153	0.00007
Staphylococcus hsinchuensis	3051183	S	147	3	150	0.00007
Staphylococcus piscifermentans	70258	S	143	3	146	0.00006
Staphylococcus lutrae	155085	S	140	1	141	0.00006
Staphylococcus nepalensis	214473	S	135	1	136	0.00006
Staphylococcus saprophyticus	29385	S	126	3	129	0.00006
Staphylococcus muscae	1294	S	119	1	120	0.00005
Staphylococcus chromogenes	46126	S	117	2	119	0.00005
Staphylococcus auricularis	29379	S	97	0	97	0.00004
Staphylococcus lloydii	2781774	S	92	1	93	0.00004
Staphylococcus edaphicus	1955013	S	92	0	92	0.00004
Staphylococcus pettenkoferi	170573	S	90	0	90	0.00004
Staphylococcus agnetis	985762	S	89	1	90	0.00004
Staphylococcus carnosus	1281	S	76	1	77	0.00003
Staphylococcus hyicus	1284	S	75	2	77	0.00003
Staphylococcus succinus	61015	S	68	2	70	0.00003
Staphylococcus shinii	2912228	S	67	2	69	0.00003
Staphylococcus condimenti	70255	S	65	1	66	0.00003
Staphylococcus ratti	2892440	S	63	0	63	0.00003
Staphylococcus casei	201828	S	62	2	64	0.00003
Staphylococcus rostri	522262	S	58	1	59	0.00003
Staphylococcus equorum	246432	S	57	30	87	0.00004
Staphylococcus coagulans	74706	S	45	1	46	0.00002
Staphylococcus schleiferi	1295	S	38	1	39	0.00002
Staphylococcus pseudoxylosus	2282419	S	32	6	38	0.00002
Mammaliicoccus sciuri	1296	S	45	3	48	0.00002
Mammaliicoccus vitulinus	71237	S	44	3	47	0.00002
Mammaliicoccus lentus	42858	S	7	0	7	0.00000
Mammaliicoccus sp. Dog046	3034233	S	3	0	3	0.00000
Mammaliicoccus stepanovicii	643214	S	2	0	2	0.00000
Macrococcus armenti	2875764	S	4	0	4	0.00000
Macrococcus equipercicus	69967	S	2	1	3	0.00000
Macrococcus brunensis	198483	S	1	1	2	0.00000
Macrococcoides caseolyticum	69966	S	3	0	3	0.00000
Macrococcoides canis	1855823	S	1	0	1	0.00000
Nosocomiicoccus ampullae	489910	S	1	2	3	0.00000
Jeotgalicoccus sp. ATCC 8456	946435	S	2	0	2	0.00000
Bacillus velezensis	492670	S	50	4	54	0.00002
