name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	197639	548039	745678	0.94859
Staphylococcus argenteus	985002	S	1321	48	1369	0.00174
Staphylococcus schweitzeri	1654388	S	662	27	689	0.00088
Staphylococcus simiae	308354	S	548	2	550	0.00070
Staphylococcus sp. MZ8	2836366	S	120	4043	4163	0.00530
Staphylococcus sp. MZ9	2836367	S	90	13358	13448	0.01711
Staphylococcus sp. FSL W8-0305	2954552	S	35	570	605	0.00077
Staphylococcus sp. IVB6181	2929481	S	27	0	27	0.00003
Staphylococcus sp. 17KM0847	2583989	S	19	0	19	0.00002
Staphylococcus sp. MI 10-1553	1912064	S	16	0	16	0.00002
Staphylococcus sp. M0911	2025492	S	7	5	12	0.00002
Staphylococcus sp. FSL W8-0056	2954548	S	6	422	428	0.00054
Staphylococcus sp. 11-B-312	2799680	S	4	1	5	0.00001
Staphylococcus sp. NRL 16/872	2930131	S	4	6	10	0.00001
Staphylococcus sp. MZ3	2836364	S	3	620	623	0.00079
Staphylococcus sp. MZ7	2836365	S	2	374	376	0.00048
Staphylococcus sp. IVB6238	2989770	S	2	3	5	0.00001
Staphylococcus sp. IVB6240	2989771	S	2	4	6	0.00001
Staphylococcus sp. T93	2799681	S	2	238	240	0.00031
Staphylococcus sp. MZ1	2836369	S	1	701	702	0.00089
Staphylococcus sp. NRL 22/194	3020908	S	1	2	3	0.00000
Staphylococcus sp. SB1-57	2813777	S	1	1	2	0.00000
Staphylococcus sp. SM3655	2807625	S	1	1480	1481	0.00188
Staphylococcus sp. SM9054	2807624	S	1	6864	6865	0.00873
Staphylococcus sp. IVB6218	2989767	S	1	14	15	0.00002
Staphylococcus sp. AntiMn-1	1715860	S	1	3	4	0.00001
Staphylococcus sp. 693-2	373067	S	1	0	1	0.00000
Staphylococcus capitis	29388	S	295	16	311	0.00040
Staphylococcus epidermidis	1282	S	281	9	290	0.00037
Staphylococcus haemolyticus	1283	S	256	7	263	0.00033
Staphylococcus delphini	53344	S	149	4	153	0.00019
Staphylococcus pseudintermedius	283734	S	77	7	84	0.00011
Staphylococcus hominis	1290	S	207	6	213	0.00027
Staphylococcus saccharolyticus	33028	S	204	1	205	0.00026
Staphylococcus pasteuri	45972	S	180	9	189	0.00024
Staphylococcus felis	46127	S	166	1	167	0.00021
Staphylococcus arlettae	29378	S	146	2	148	0.00019
Staphylococcus devriesei	586733	S	116	1	117	0.00015
Staphylococcus lugdunensis	28035	S	105	1	106	0.00013
Staphylococcus gallinarum	1293	S	92	0	92	0.00012
Staphylococcus warneri	1292	S	92	10	102	0.00013
Staphylococcus xylosus	1288	S	80	2	82	0.00010
Staphylococcus caprae	29380	S	78	1	79	0.00010
Staphylococcus simulans	1286	S	75	0	75	0.00010
Staphylococcus piscifermentans	70258	S	65	1	66	0.00008
Staphylococcus lutrae	155085	S	65	0	65	0.00008
Staphylococcus saprophyticus	29385	S	57	1	58	0.00007
Staphylococcus edaphicus	1955013	S	54	0	54	0.00007
Staphylococcus debuckii	2044912	S	54	1	55	0.00007
Staphylococcus kloosii	29384	S	52	0	52	0.00007
Staphylococcus cohnii	29382	S	45	2	47	0.00006
Staphylococcus ureilyticus	94138	S	5	1	6	0.00001
Staphylococcus hsinchuensis	3051183	S	49	1	50	0.00006
Staphylococcus nepalensis	214473	S	44	0	44	0.00006
Staphylococcus lloydii	2781774	S	44	0	44	0.00006
Staphylococcus auricularis	29379	S	43	0	43	0.00005
Staphylococcus pettenkoferi	170573	S	40	0	40	0.00005
Staphylococcus muscae	1294	S	39	0	39	0.00005
Staphylococcus chromogenes	46126	S	38	0	38	0.00005
